PROGRAM,mtype,msize,mlevel,nsize,fmin,df,chisq,rmr,srmr,gfi,agfi,rmsea,cfi,nnfi,nfi,gamma,npar
R,CFA,big,TRU,100,0.455561759,84,91.11235171,0.056407568,0.05327076,0.897978943,0.854255632,0.025900977,0.988310096,0.989583331,0.901096196,0.987383255,36
R,CFA,big,TRU,200,0.216608829,84,86.64353176,0.04038438,0.037893667,0.946910401,0.924157715,0.013466689,0.99601186,0.998045906,0.949677088,0.995707152,36
R,CFA,big,TRU,500,0.084127646,84,84.12764643,0.025256728,0.02345337,0.978350934,0.969072763,0.007216574,0.998693099,0.999980584,0.979766803,0.998584629,36
R,CFA,big,TRU,1000,0.042097259,84,84.1945176,0.017961926,0.016686738,0.988984484,0.984263548,0.005114628,0.999350321,0.999977426,0.989732034,0.999296959,36
R,CFA,small,TRU,100,0.004906985,1,0.981397094,0.009249751,0.00919745,0.995243718,0.952437184,0.03259084,0.997541598,1.001517513,0.995003309,0.997662077,9
R,CFA,small,TRU,200,0.002654923,1,1.061969013,0.006930359,0.006833886,0.997385895,0.973858951,0.025917937,0.998606631,0.998958904,0.997244025,0.998696085,9
R,CFA,small,TRU,500,0.000957881,1,0.9578814,0.004143187,0.004058267,0.999047342,0.990473425,0.014976976,0.999517831,1.000253494,0.998999202,0.999543098,9
R,CFA,small,TRU,1000,0.0004287,1,0.857399476,0.00275199,0.002681199,0.999572402,0.99572402,0.008955613,0.999803448,1.000449687,0.999553965,0.999811789,9
R,SEM,big,TRU,100,0.244255419,46,48.85108376,4.61334438,0.025716472,0.92814726,0.878162746,0.024528236,0.995841717,0.996951854,0.964165271,0.991118877,32
R,SEM,big,TRU,200,0.118639553,46,47.45582133,3.268954565,0.01801499,0.962890148,0.937074599,0.015211003,0.998161515,0.999217834,0.982171972,0.996054422,32
R,SEM,big,TRU,500,0.046669444,46,46.66944354,2.059151701,0.011239169,0.984848175,0.974307775,0.008568532,0.999353982,0.999856639,0.992900788,0.998601266,32
R,SEM,big,TRU,1000,0.022982062,46,45.96412369,1.45195701,0.007910503,0.992436049,0.987174171,0.00553331,0.999732744,1.000007131,0.99648982,0.999418848,32
R,SEM,small,TRU,100,0.01899156,4,3.79831203,0.159844009,0.019816984,0.987839573,0.936157759,0.026580493,0.996284471,1.003422159,0.985700155,0.996899785,17
R,SEM,small,TRU,200,0.009814275,4,3.925709807,0.115323656,0.014447427,0.99358571,0.966324977,0.020063256,0.997911067,1.000576704,0.992365085,0.998283996,17
R,SEM,small,TRU,500,0.003800156,4,3.800156379,0.068580345,0.008584158,0.997489367,0.986819179,0.011903796,0.999206513,1.000615985,0.997019207,0.999331642,17
R,SEM,small,TRU,1000,0.001990203,4,3.980405853,0.048928704,0.006131628,0.998679364,0.993066661,0.009268116,0.999562024,1.000045465,0.998430854,0.999630844,17
R,CFA,big,LV1,100,0.566513816,85,113.3027631,0.069020969,0.06278533,0.874239623,0.822455938,0.05436376,0.965398612,0.957593118,0.87683651,0.963797336,35
R,CFA,big,LV1,200,0.331156282,85,132.4625127,0.056937469,0.050524841,0.918986442,0.885627918,0.051653628,0.970712344,0.963828506,0.923075247,0.969461521,35
R,CFA,big,LV1,500,0.197408501,85,197.4085011,0.047398141,0.040657726,0.948299535,0.927011108,0.051097704,0.972260596,0.965733677,0.952504488,0.970937511,35
R,CFA,big,LV1,1000,0.154665956,85,309.3319123,0.043858496,0.036994902,0.958247261,0.941054957,0.051214005,0.972293078,0.965773803,0.962276109,0.970978007,35
R,CFA,small,LV1,100,0.035771424,2,7.154284798,0.034022441,0.032823897,0.965332302,0.826661512,0.140124683,0.97255725,0.919779376,0.963869807,0.974760424,8
R,CFA,small,LV1,200,0.031125224,2,12.45008957,0.032650257,0.031467522,0.968833984,0.844169919,0.150679455,0.972503465,0.917744445,0.967806672,0.97474267,8
R,CFA,small,LV1,500,0.02741667,2,27.41667039,0.031485871,0.030159766,0.971991912,0.85995956,0.155644213,0.973380425,0.920143623,0.971462236,0.97531907,8
R,CFA,small,LV1,1000,0.026963238,2,53.92647505,0.031587399,0.03009618,0.97225088,0.8612544,0.159450924,0.972866157,0.91859847,0.971907718,0.974745609,8
R,SEM,big,LV1,100,0.350495415,48,70.09908293,5.865467867,0.033697696,0.897412354,0.833295075,0.063409315,0.983005454,0.976803487,0.948733954,0.96468873,30
R,SEM,big,LV1,200,0.214412999,48,85.76519975,4.835133452,0.027856096,0.931654445,0.888938474,0.060862208,0.985440462,0.979999054,0.967761586,0.969634719,30
R,SEM,big,LV1,500,0.140423847,48,140.4238473,4.150603865,0.024026029,0.952392425,0.922637691,0.061611238,0.985795091,0.980468251,0.978633363,0.970161561,30
R,SEM,big,LV1,1000,0.117447133,48,234.894265,3.936593603,0.022841423,0.958891293,0.933198352,0.062186361,0.985654218,0.98027455,0.982058644,0.969815943,30
R,SEM,small,LV1,100,0.058463475,5,11.69269492,0.464032118,0.048460862,0.96320404,0.845456969,0.102621708,0.972926858,0.920575542,0.956143458,0.978025335,16
